Nombre;Dirección;Código postal;Localidad;Provincia;Web;lat;lng
Deixalleria De Balsareny;Polígon industrial Les Mayoles;08660;Balsareny;Barcelona;http://bit.ly/18rqMFR;41.861938;1.873865
Punto Limpio de Arrecife;Avenida de los Geranios s/n;35500;Arrecife;Las Palmas;http://bit.ly/126qwr4;28.9762136;-13.5561222
Punto Limpio de Playa Honda;Zona industrial de Playa Honda, Calle Arrecife;35509;Playa Honda;Las Palmas;http://bit.ly/126qwr4;28.9539476;-13.5914198
Punto Limpio de Playa Blanca;Calle Femés;35580;Playa Blanca;Las Palmas;http://bit.ly/126qwr4;28.865;-13.8305556
Punto Limpio de Puerto del Carmen;Calle Tías;35510;Puerto del Carmen;Las Palmas;http://bit.ly/126qwr4;28.9239086;-13.6632734
Punto Limpio Lomo del Jable (Lajares);La Oliva;35640;La Oliva;Las Palmas;http://bit.ly/109qITq;28.6100767;-13.9267252
Punto Limpio Risco Prieto;Puerto del Rosario;35649;Puerto del Rosario;Las Palmas;http://bit.ly/109qITq;28.5310413;-13.9376021
Punto Limpio Fuente Bartolo;Tuineje;35629;Tuineje;Las Palmas;http://bit.ly/109qITq;28.327262;-14.047254
Punto Limpio Breña Baja;Calle Cabecera Norte del Aeropuerto,s/n;38712;Breña Baja;Santa Cruz de Tenerife;http://bit.ly/16mJ7Vg;28.6412969;-17.7724671
Punto Limpio Los Llanos de Aridane;Poligono Industrial Callejón de la Gata,s/n;38760;Los Llanos de Aridane;Santa Cruz de Tenerife;http://bit.ly/16mJ7Vg;28.6602362;-17.9131874
Punto Limpio Puntallana;Calle La Galga,s/n;38715;Puntallana;Santa Cruz de Tenerife;http://bit.ly/16mJ7Vg;28.7397804;-17.7454647
Punto Limpio Tijarafe;Carretera Barranco Jurado,s/n;38780;Tijarafe;Santa Cruz de Tenerife;http://bit.ly/16mJ7Vg;28.7110909;-17.9561807
Punto Limpio de Adeje;Cruce de Armeñime;38670;Adeje;Santa Cruz de Tenerife;http://bit.ly/15wzuUw;28.127125;-16.745468
Punto Limpio de Arona;Malpaso de Guaza;38640;Arona;Santa Cruz de Tenerife;http://bit.ly/15wzuUw;28.064445;-16.664568
Punto Limpio de Güimar;Valle de Güimar;38500;Güimar;Santa Cruz de Tenerife;http://bit.ly/15wzuUw;28.320155;-16.377615
Punto Limpio de Taco;Carretera General La Cuesta -Taco;38108;La Laguna;Santa Cruz de Tenerife;http://bit.ly/15wzuUw;28.44894;-16.296591
Punto Limpio de Buenavista;Los Pasitos;38480;Los Pasitos;Santa Cruz de Tenerife;http://bit.ly/15wzuUw;28.361340;-16.848352
Punto Limpio de la Guancha;Carretera de subida a La Guancha;38440;La Guancha;Santa Cruz de Tenerife;http://bit.ly/15wzuUw;28.385171;-16.6774
Punto Limpio de la Orotava;Polígono Industrial San Jerónimo;38300;La Orotava;Santa Cruz de Tenerife;http://bit.ly/15wzuUw;28.396558;-16.541763
Punto Limpio de Jagua;Barranco de Jagua;38120;Santa Cruz de Tenerife;Santa Cruz de Tenerife;http://bit.ly/15wzuUw;28.3858;-16.660607
Punto Limpio San Sebastián de la Gomera;San Sebastián de la Gomera;38800;La Gomera;Santa Cruz de Tenerife;http://bit.ly/17RzYSC;28.080337;-17.128585
Punto Limpio de Frontera;Calle el Matorral;38911;El Hierro;Santa Cruz de Tenerife;http://bit.ly/17RzYSC;27.71252;-18.027817
Punto Limpio de Valverde;Poligono industrial el Majano;38900;El Hierro;Santa Cruz de Tenerife;http://bit.ly/17RzYSC;27.775404;-17.939386
Punto Limpio Las Rubiesas;Prolongación C/Ignacio Martín Baró s/n. Polígono Industrial Las Rubiesas;35214;Telde;Las Palmas;http://bit.ly/11qrAL3;27.997944;-15.388974
Punto Limpio de Vencidario;Avda. del Atlántico s/n;35110;Vecindario T.M. Santa Lucia de Tirajana;Las Palmas;http://bit.ly/ZNOk16;27.845205;-15.438842
Punto Limpio de La Aldea;Las Marciegas;;T. M. Aldea de San Nicolás;Las Palmas;http://bit.ly/ZNOk16;27.998323;-15.816346
Punto Limpio de San Fernando de Maspalomas;Ctra. GC-504 (Carretera Palmitos Park), km. 0,5;35100;Maspalomas T.M, San Bartolomé‚ de Tirajana;Las Palmas;http://bit.ly/ZNOk16;27.783154;-15.608431
Punto Limpio de Llano Alegre;Ctra. C-813. Llano Alegre s/n;35457;T.M. Santa María de Guía;Las Palmas;http://bit.ly/ZNOk16;28.112854;-15.685999
Punto Limpio Cardones;C/ Lomo el Perdigón s/n T;35415;T.M. Arucas;Las Palmas;http://bit.ly/198Yld7;28.128763;-15.505123
Punto Limpio El sebadal;C/Sao Paulo, nº 28;35008;T.M. Las Palmas de Gran Canaria;Las Palmas;http://bit.ly/198Yld7;28.158308;-15.415114
Punto Limpio El Batán;C/Severo Ochoa s/n;35015;T.M. Las Palmas de Gran Canaria;Las Palmas;http://bit.ly/198Yld7;28.093415;-15.425939
