Dirección;Código postal;Localidad;Provincia;Teléfono;lat;lng
Av. Barberà, 359;08204;Sabadell;Barcelona;937207860;41.530033;2.1171348
Av. de la Concordia, 7;08206;Sabadell;Barcelona;937247880;41.559258;2.0963526
Av. de l'Onze de Setembre, 41-43-45;08208;Sabadell;Barcelona;937450325;41.55275;2.1054368
Av. de Matadepera, 104-106;08207;Sabadell;Barcelona;937136140;41.56682;2.089151
Rambla de Sabadell, 130;08201;Sabadell;Barcelona;937484759;41.54285;2.11079
Rambla de Sabadell, 24;08201;Sabadell;Barcelona;937267433;41.5456;2.10936
